Date,MaxTemp,site number,site name
01/01/2018,29,,
02/01/2018,29.2,,
03/01/2018,25.1,,
04/01/2018,25.7,,
05/01/2018,27.3,,
06/01/2018,30.2,,
07/01/2018,42.5,,
08/01/2018,32.4,,
09/01/2018,30.4,,
10/01/2018,24.8,,
11/01/2018,24.9,,
12/01/2018,29,,
13/01/2018,33.8,,
14/01/2018,24,,
15/01/2018,25.8,,
16/01/2018,23.5,,
17/01/2018,25.6,,
18/01/2018,27,,
19/01/2018,28.5,,
20/01/2018,29.8,,
21/01/2018,28.8,,
22/01/2018,30.4,,
23/01/2018,27.8,,
24/01/2018,29.4,,
25/01/2018,27.5,,
26/01/2018,28.7,,
27/01/2018,29.7,,
28/01/2018,29.4,,
29/01/2018,31,,
30/01/2018,30.6,,
31/01/2018,21.9,,
01/02/2018,24.7,,
02/02/2018,23.7,,
03/02/2018,25.2,,
04/02/2018,26.3,,
05/02/2018,27.4,,
06/02/2018,28.1,,
07/02/2018,28.4,,
08/02/2018,29.7,,
09/02/2018,31.1,,
10/02/2018,30.1,,
11/02/2018,29.1,,
12/02/2018,28.9,,
13/02/2018,30.5,,
14/02/2018,33.9,,
15/02/2018,28.8,,
16/02/2018,30.1,,
17/02/2018,29,,
18/02/2018,30.2,,
19/02/2018,29.5,,
20/02/2018,23.4,,
21/02/2018,27.8,,
22/02/2018,28.7,,
23/02/2018,28.6,,
24/02/2018,34,,
25/02/2018,21.8,,
26/02/2018,23.6,,
27/02/2018,25.2,,
28/02/2018,27.6,,
01/03/2018,26.4,,
02/03/2018,26.3,,
03/03/2018,28.7,,
04/03/2018,25.1,,
05/03/2018,25.4,,
06/03/2018,25.2,,
07/03/2018,25.2,,
08/03/2018,26.5,,
09/03/2018,27.5,,
10/03/2018,29.2,,
11/03/2018,29,,
12/03/2018,29.1,,
13/03/2018,20.5,,
14/03/2018,27.3,,
15/03/2018,29.7,,
16/03/2018,27,,
17/03/2018,32.6,,
18/03/2018,38,,
19/03/2018,29.1,,
20/03/2018,27.5,,
21/03/2018,21.9,,
22/03/2018,23.6,,
23/03/2018,26.3,,
24/03/2018,27.6,,
25/03/2018,31.9,,
26/03/2018,26.2,,
27/03/2018,26.5,,
28/03/2018,27.3,,
29/03/2018,28.6,,
30/03/2018,29,,
31/03/2018,25.5,,
01/04/2018,27.8,,
02/04/2018,31.3,,
03/04/2018,26.2,,
04/04/2018,26.6,,
05/04/2018,28.6,,
06/04/2018,28.3,,
07/04/2018,27.8,,
08/04/2018,27.5,,
09/04/2018,35.6,,
10/04/2018,26.2,,
11/04/2018,28.2,,
12/04/2018,34.2,,
13/04/2018,33.1,,
14/04/2018,30.7,,
15/04/2018,24.3,,
16/04/2018,29.8,,
17/04/2018,22.5,,
18/04/2018,24.4,,
